figure_id,model,condition,layer,point_order,fpr,tpr,risk_threshold,margin_threshold,status,source
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,123,0.9450549451,1.0000000000,-27.8134765625,27.8134765625,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,124,0.9560439560,1.0000000000,-28.2887115479,28.2887115479,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,125,0.9670329670,1.0000000000,-28.3586044312,28.3586044312,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,126,0.9780219780,1.0000000000,-28.9166584015,28.9166584015,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,127,0.9890109890,1.0000000000,-28.9767570496,28.9767570496,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,128,1.0000000000,1.0000000000,-29.3139839172,29.3139839172,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,28,0,0.0000000000,0.0000000000,inf,-inf,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,28,1,0.0109890110,0.0000000000,4.7052383423,-4.7052383423,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,28,2,0.0219780220,0.0000000000,-9.5620727539,9.5620727539,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,28,3,0.0329670330,0.0000000000,-12.9149036407,12.9149036407,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,28,4,0.0329670330,0.0270270270,-13.2563323975,13.2563323975,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,28,5,0.0329670330,0.0540540541,-14.5612373352,14.5612373352,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
